client_id,total_requests,total_errors,error_rate
group_1_user_1,300,0,0.0
group_2_user_1,880,0,0.0
group_1_user_2,300,0,0.0
group_3_user_1,1128,1,0.08865248226950355
group_1_user_3,300,0,0.0
group_1_user_4,300,0,0.0
group_1_user_5,300,0,0.0
group_2_user_2,880,0,0.0
group_1_user_6,300,0,0.0
group_1_user_7,300,0,0.0
group_1_user_8,300,0,0.0
group_1_user_9,300,0,0.0
group_2_user_3,879,0,0.0
group_1_user_10,300,0,0.0
group_1_user_11,300,0,0.0
group_1_user_12,300,0,0.0
group_1_user_13,300,0,0.0
group_2_user_4,878,0,0.0
group_1_user_14,300,0,0.0
group_1_user_15,300,0,0.0
group_1_user_16,300,0,0.0
group_2_user_5,876,0,0.0
group_1_user_17,299,0,0.0
group_3_user_2,1122,3,0.267379679144385
group_1_user_18,299,0,0.0
group_1_user_19,299,0,0.0
group_1_user_20,299,0,0.0
group_2_user_6,876,0,0.0
group_1_user_21,299,0,0.0
group_1_user_22,299,0,0.0
group_1_user_23,299,0,0.0
group_1_user_24,299,0,0.0
group_2_user_7,874,0,0.0
group_1_user_25,299,0,0.0
group_1_user_26,299,0,0.0
group_1_user_27,299,0,0.0
group_1_user_28,299,0,0.0
group_2_user_8,874,0,0.0
group_1_user_29,299,0,0.0
group_1_user_30,299,0,0.0
group_1_user_31,299,0,0.0
group_2_user_9,874,0,0.0
group_1_user_32,298,0,0.0
group_3_user_3,1120,2,0.17857142857142858
group_1_user_33,298,0,0.0
group_1_user_34,298,0,0.0
group_1_user_35,298,0,0.0
group_2_user_10,873,0,0.0
group_1_user_36,298,0,0.0
group_1_user_37,298,0,0.0
group_1_user_38,298,0,0.0
group_1_user_39,298,0,0.0
group_2_user_11,873,0,0.0
group_1_user_40,298,0,0.0
group_1_user_41,298,0,0.0
group_1_user_42,298,0,0.0
group_1_user_43,298,0,0.0
group_2_user_12,872,0,0.0
group_1_user_44,298,0,0.0
group_1_user_45,298,0,0.0
group_1_user_46,298,0,0.0
group_2_user_13,868,0,0.0
group_1_user_47,297,0,0.0
group_3_user_4,1117,4,0.35810205908683973
group_1_user_48,297,0,0.0
group_1_user_49,297,0,0.0
group_1_user_50,297,0,0.0
group_2_user_14,869,0,0.0
group_1_user_51,297,0,0.0
group_1_user_52,297,0,0.0
group_1_user_53,297,0,0.0
group_1_user_54,297,0,0.0
group_2_user_15,870,0,0.0
group_1_user_55,297,0,0.0
group_1_user_56,297,0,0.0
group_1_user_57,297,0,0.0
group_1_user_58,297,0,0.0
group_2_user_16,868,0,0.0
group_1_user_59,297,0,0.0
group_1_user_60,297,0,0.0
group_1_user_61,297,0,0.0
group_1_user_62,296,0,0.0
group_2_user_17,867,0,0.0
group_3_user_5,1114,3,0.26929982046678635
group_1_user_63,296,0,0.0
group_1_user_64,296,0,0.0
group_1_user_65,296,0,0.0
group_2_user_18,867,0,0.0
group_1_user_66,296,0,0.0
group_1_user_67,296,0,0.0
group_1_user_68,296,0,0.0
group_1_user_69,296,0,0.0
group_2_user_19,867,0,0.0
group_1_user_70,296,0,0.0
group_1_user_71,296,0,0.0
group_1_user_72,296,0,0.0
group_1_user_73,296,0,0.0
group_2_user_20,866,0,0.0
group_1_user_74,296,0,0.0
group_1_user_75,296,0,0.0
